Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
Bradaric,Verona,D,57.25,65,64,40,60,,,,,,,,,,,,,,,11/20,0/2,3/5
Pezzella Giu.,Empoli,D,57.25,61,68,40,60,,,,,,,,,,,,,,,11/20,0/1,0/3
Obert,Cagliari,D,57.25,44,65,40,80,,,,,,,,,,,,,,,21/30,0/2,0/2
Bijol,Udinese,D,57.0,65,63,40,60,,,,,,,,,,Buona Media,Goleador,,,,21/30,0/3,0/2
Dorgu,Lecce,D,56.75,66,61,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,0/3,0/3
Patric,Lazio,D,56.75,66,61,40,60,,,,,,,,,,,,,,,11/20,0/1,0/1
Abdulhamid,Roma,D,56.75,65,62,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Thiaw,Milan,D,56.75,60,67,40,60,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/1
Frese,Verona,D,56.75,60,67,40,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,0/3,3/5
BUCHANAN TAJON,Inter,D,56.75,59,68,40,60,,,,,,,,,,,,Assistman,,,0/10,0/3,0/3
Cacace,Empoli,D,56.5,64,62,40,60,,,,,,,,,,,,,,,11/20,0/2,0/3
JESUS JUAN,Napoli,D,56.5,62,64,40,60,,,,,,,,,,,,,,,11/20,0/1,0/1
ZALEWSKI NICOLA,Roma,D,56.5,62,64,40,60,,,,,,,,,,,,,,,21/30,3/5,0/3
Gigot,Lazio,D,56.5,62,64,60,40,,,,,,,,,,,Goleador,,,,21/30,0/3,0/3
Masina,Torino,D,56.5,60,66,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Pereira P.,Monza,D,56.5,58,68,40,60,,,,,,,,,,,,Assistman,,,21/30,0/3,3/5
Dossena,Como,D,56.25,65,60,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,0/3,0/3
Kempf,Como,D,56.25,61,64,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,0/1
Palomino,Cagliari,D,56.25,51,74,40,60,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
Altare,Venezia,D,56.25,46,59,40,80,,,,,,,,,,,,,,,21/30,0/3,0/3
Beukema,Bologna,D,56.0,60,64,40,60,,,,,,,,,,,Goleador,,,,21/30,0/3,0/2
Kolasinac,Atalanta,D,55.75,73,70,40,40,,,,,,,,,,,,,,,21/30,3/5,3/5
Lucumi',Bologna,D,55.75,68,55,40,60,,,,,,,,,,,,,,,11/20,0,0
Tavares N.,Lazio,D,55.75,60,63,60,40,,,,,,,,,,,,Assistman,,,21/30,0/3,0/3
Zemura,Udinese,D,55.75,54,69,40,60,,,,,,,,,,,,,,,21/30,0/2,0/3
Caldirola,Monza,D,55.5,59,63,40,60,,,,,,,,,,,,,,,21/30,0/1,0/1
Dawidowicz,Verona,D,55.5,58,64,40,60,,,,,,,,,,,,,,,21/30,0/2,0/2
Sambia,Empoli,D,55.5,58,64,40,60,,,,,,,,,,,,,,,11/20,0/2,0/3
Azzi,Cagliari,D,55.5,57,65,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Scalvini,Atalanta,D,55.25,64,57,20,80,,,,,,,,,,,,,,,0/10,0/2,0/1
DJALO TIAGO,Juventus,D,55.25,59,62,40,60,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
Moreno Alb.,Como,D,55.25,55,66,40,60,,,,,,,,,,,,Assistman,,,21/30,0/2,3/5
Cabal,Juventus,D,55.0,65,55,40,60,,,,,Outsider,,,,,,,,,,0/10,0/2,0/2
Idzes,Venezia,D,55.0,57,63,60,40,,,,,Outsider,,,,,,Goleador,,,,30+,0/3,0/3
Miranda J.,Bologna,D,55.0,54,66,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Haps,Venezia,D,55.0,54,66,40,60,,,,,,,,,,,,,,,11/20,0/3,3/5
Faraoni,Verona,D,55.0,53,67,40,60,,,,,,,,,,Buona Media,,,,,11/20,3/5,3/5
Holm,Bologna,D,54.75,59,60,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,3/5
Sabelli,Genoa,D,54.75,56,63,40,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,0/3,3/5
Vogliacco,Genoa,D,54.5,56,62,40,60,,,,,,,,,,,,,,,11/20,0,0
Palacios T.,Inter,D,54.5,53,65,40,60,,,,,,,,,,,,,,,11/20,0/2,0/1
Bani,Genoa,D,54.5,51,67,40,60,,,,,,,,,,,,,,,30+,0/2,0/2
Godfrey,Atalanta,D,54.25,55,62,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Baschirotto,Lecce,D,54.0,74,42,40,60,,,,,Outsider,,,,,,,,,,0/10,0/2,0
Kalulu,Juventus,D,54.0,59,57,40,60,,,,,,,,,,,,,,,11/20,0/1,0/1
Coulibaly W.,Parma,D,54.0,57,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Dahl,Roma,D,54.0,57,59,40,60,,,,,,,,,,,,Assistman,,,11/20,0/3,0/3
Ismajli,Empoli,D,54.0,53,63,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/1,0/1
Zampano,Venezia,D,54.0,51,65,40,60,,,,,,,,,,,,Assistman,,,21/30,0/3,3/5
Kossounou,Atalanta,D,53.75,55,60,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
VALENTINI NICOLAS,Fiorentina,D,53.5,52,62,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
NORTON-CUFFY BROOKE,Genoa,D,53.5,50,64,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Varane,Como,D,53.25,61,72,40,40,,,,Fuoriclasse,,,,,,Buona Media,,,,,21/30,0/3,0/3
Circati,Parma,D,53.25,51,62,40,60,,,,,Outsider,,,,,,,,,,21/30,0/3,0/3
Di Chiara,Parma,D,53.25,51,62,40,60,,,,,,,,,,,,,,,0/10,0,0
Guilbert,Lecce,D,53.0,51,61,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Carboni A.,Monza,D,53.0,49,63,40,60,,,,,,,,,,,,,,,0/10,0/2,0/2
Sverko,Venezia,D,53.0,49,63,40,60,,,,,,,,,,,,,,,30+,0/3,0/3
Gaspar K.,Lecce,D,53.0,49,63,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Osorio,Parma,D,53.0,48,64,40,60,,,,,,,,,,,,,,,11/20,0/3,0/1
Spinazzola,Napoli,D,52.75,60,71,60,20,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,0/3,4/7
Comuzzo,Fiorentina,D,52.75,52,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Ebuehi,Empoli,D,52.75,51,60,40,60,,,,,,,,,,Buona Media,,,,,11/20,0/2,0/2
TOURE ISSAK,Udinese,D,52.75,48,63,40,60,,,,,,,,,,,,,,,11/20,0/3,0/1
Magnani,Verona,D,52.5,67,63,40,40,,,,,,,,,,,,,,,11/20,0/1,0/1
Svoboda,Venezia,D,52.5,48,62,40,60,,,,,Outsider,,,,,,,,,,11/20,0/2,0/2
Moreno M.,Fiorentina,D,52.25,52,57,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Ilic M.,Bologna,D,52.25,48,61,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Pelmard,Lecce,D,52.25,48,61,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
KEBASELE CRISTIAN,Udinese,D,52.25,47,62,40,60,,,,,,,,,,,,,,,21/30,0/2,0/1
Kovacik,Como,D,52.0,47,61,40,60,,,,,,,,,,,,Assistman,,,21/30,0/3,3/5
Ebosse,Udinese,D,51.75,46,61,40,60,,,,,,,,,,,,,,,11/20,0/1,0/2
Wieteska,Cagliari,D,51.75,45,62,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Balogh,Parma,D,51.5,45,61,40,60,,,,,,,,,,,,,,,11/20,0/1,0/1
Walukiewicz,Torino,D,51.25,62,63,40,40,,,,,,,,,,,,,,,11/20,0/1,0/1
Giannetti L.,Udinese,D,51.25,42,63,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Marin R.,Napoli,D,51.0,59,65,40,40,,,,,,,,,,,,,,,21/30,0/3,0/2
Daniliuc,Verona,D,51.0,46,58,40,60,,,,,,,,,,,,,,,21/30,0/1,0/1
Goldaniga,Como,D,51.0,45,59,40,60,,,,,,,,,,,,,,,11/20,0/2,0/1
Jean,Lecce,D,51.0,45,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
De Winter,Genoa,D,50.75,60,63,40,40,,,,,Outsider,,,,,,,,,,21/30,0/3,0/1
Schingtienne,Venezia,D,50.75,45,58,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Kristensen T.,Udinese,D,50.5,60,62,40,40,,,,,,,,,,,,,,,11/20,0/2,0/1
Mina,Cagliari,D,50.5,57,65,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
Sazonov,Empoli,D,50.25,43,58,40,60,,,,,,,,,,,,,,,11/20,0/1,0/1
Tchatchoua,Verona,D,50.0,57,63,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Coppola D.,Verona,D,50.0,55,65,40,40,,,,,Outsider,,,,,,,,,,11/20,0/3,0/3
D'Ambrosio,Monza,D,50.0,53,67,40,40,,,,,,,,,,,,,,,21/30,3/5,0/2
Viti,Empoli,D,50.0,48,52,40,60,,,,,Outsider,,,,,,,,,,21/30,0/2,0/1
Leoni,Parma,D,50.0,44,56,40,60,,,,,,,,,,,,,,,11/20,3/5,0/3
Corazza,Bologna,D,50.0,42,58,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Gila,Lazio,D,49.75,61,58,20,60,,,,,,,,,,,,,,,0/10,0/1,0/1
Maripan,Torino,D,49.75,52,67,60,20,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/1
ROBERTO SERGI,Como,D,49.75,50,69,60,20,,,,,,,,,,Buona Media,,Assistman,,,11/20,0/3,3/5
JIMENEZ ALEX,Milan,D,49.5,59,59,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3
FERREIRA JOAO,Udinese,D,49.25,55,62,40,40,,,,,,,,,,,,,,,11/20,0/2,0/3
Van Der Brempt,Como,D,49.0,50,66,40,40,,,,,,,,,,,,Assistman,,,11/20,0/2,0/3
Bonifazi,Lecce,D,48.5,50,64,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Sala M.,Como,D,48.25,57,56,20,60,,,,,,,,,,,,,,,0/10,0,0
Barba,Como,D,48.25,48,65,40,40,,,,,,,,,,,,,,,11/20,0/2,0/2
Sagrado,Venezia,D,48.0,51,61,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Okou,Verona,D,47.5,50,60,20,60,,,,,,,,,,,Goleador,,,,11/20,0/1,0/1
Iovine,Como,D,47.5,48,62,20,60,,,,,,,,,,,,Assistman,,,11/20,0/2,0/3
PAJAC MARKO,Genoa,D,47.25,51,58,40,40,,,,,,,,,,,,,,,0/10,0/1,0/2
Schuurs,Torino,D,46.75,57,30,60,40,,,,,,,,,,Buona Media,,,,,21/30,0/2,0/2
Marcandalli,Genoa,D,46.5,47,59,20,60,,,,,,,,,,,,,,,11/20,0/2,0/3
Ghilardi,Verona,D,46.5,45,61,20,60,,,,,,,,,,,,,,,11/20,0/1,0/1
Carboni F.,Venezia,D,46.5,36,30,40,80,,,,,,,,,,,,,,,11/20,0/2,0/2
Matturro,Genoa,D,46.25,40,65,20,60,,,,,,,,,,,,,,,0/10,0/3,0/2
Palestra,Atalanta,D,46.0,53,51,20,60,,,,,,,,,,,,,,,0/10,0,0
DEMBELÉ ALI,Torino,D,46.0,51,53,20,60,,,,,,,,,,,,Assistman,,,0/10,0/2,0/3
Cuadrado,Atalanta,D,44.25,56,61,40,20,,,,,,,,,,,,,,,11/20,0/3,0/3
Goglichidze,Empoli,D,44.25,45,52,20,60,,,,,,,,,,,,,,,0/10,0/2,0/3
De Sciglio,Empoli,D,42.75,46,65,40,20,,,,,,,,,,,,,,,11/20,0/1,0/1
Valenti,Parma,D,39.0,42,54,40,20,,,,,,,,,,,,,,,0/10,0/2,0/1
Gatti,Juventus,D,35.25,71,30,20,20,,,,,,,,,,,,,,,0/10,0,0
