Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
Man,Parma,C,59.25,52,65,60,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Zarraga,Udinese,C,59.0,50,66,60,60,,,,,,,,,,Buona Media,,,,,21/30,0/2,0/3
Mazzitelli,Como,C,58.75,65,70,60,40,,,,,,,,,,,,Assistman,,,21/30,0/3,3/5
Aebischer,Bologna,C,58.5,70,64,60,40,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
Bohinen,Genoa,C,58.5,50,64,40,80,,,,,,,,,,,,,,,11/20,0/2,0/2
Cataldi,Fiorentina,C,58.25,68,65,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Maleh,Empoli,C,58.25,67,66,40,60,,,,,,,,,,Buona Media,,Assistman,,,11/20,0/3,0/3
Rovella,Lazio,C,58.0,64,68,40,60,,,,,,,,,,Buona Media,,,,,11/20,0/2,0/3
Asllani,Inter,C,57.75,66,65,40,60,,,,,,,,,,,,Assistman,,,11/20,0/3,0/3
Marin,Cagliari,C,57.75,64,67,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Freuler,Bologna,C,57.5,76,74,40,40,,,,,,,,,,,,,,,21/30,3/5,0/3
Ricci S.,Torino,C,57.5,67,63,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,0/3
Thorsby,Genoa,C,57.25,65,64,40,60,,,,,,,,,,,,,,,21/30,0/2,0/2
Richardson,Fiorentina,C,57.25,65,64,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,0/3
Gagliardini,Monza,C,57.25,60,69,40,60,,,,,,,,,,Buona Media,,,,,11/20,0/2,0/3
KONE MANU,Roma,C,57.0,60,68,60,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Weah,Juventus,C,56.75,63,64,40,60,,,,,,,,,,,,Assistman,,,21/30,3/5,3/5
Ramadani,Lecce,C,56.75,62,65,40,60,,,,,,,,,,,,,,,21/30,0/3,0/2
Makoumbou,Cagliari,C,56.5,58,68,40,60,,,,,,,,,,,,,,,30+,0/3,0/3
Pobega,Bologna,C,56.5,56,70,40,60,,,,,,,,,,Buona Media,,,,,11/20,3/5,0/3
Baselli,Como,C,56.5,52,74,60,40,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Bove,Fiorentina,C,56.25,64,61,40,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,3/5,3/5
Coulibaly L.,Lecce,C,56.25,63,62,40,60,,,,,,,,,,Buona Media,,,,,30+,0/3,0/3
Folorunsho,Napoli,C,56.0,76,68,40,40,,,,,,,,,,,Goleador,,,,11/20,0/3,0/2
TERRACCIANO FILIPPO,Milan,C,56.0,62,62,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Hernani,Parma,C,56.0,55,69,40,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,3/5
Paredes,Roma,C,55.75,68,75,40,40,,,,,,,,,,Buona Media,,Assistman,,,21/30,0/3,0/3
Felici,Cagliari,C,55.75,64,59,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,0/3
Engelhardt,Como,C,55.75,60,63,40,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/3,0/3
Miretti,Genoa,C,55.75,47,76,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Sohm,Parma,C,55.5,60,62,40,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,3/5,3/5
Ciurria,Monza,C,55.5,59,63,40,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,0/3,4/7
Fagioli,Juventus,C,55.5,55,67,40,60,,,,,Outsider,,,,,,,Assistman,,,11/20,0/2,0/3
Harroui,Verona,C,55.25,57,64,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Karlstrom,Udinese,C,55.25,56,65,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Akpa Akpro,Lazio,C,55.0,58,62,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Suslov,Verona,C,54.75,61,58,40,60,,,,,Outsider,,,,,,,Assistman,,,21/30,3/5,4/7
Busio,Venezia,C,54.5,55,63,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
El Azzouzi,Bologna,C,54.5,55,63,40,60,,,,,,,,,,,,,,,11/20,0/2,0/2
Castrovilli,Lazio,C,54.0,66,70,60,20,,,,,,,,,,Buona Media,,,,,21/30,4/7,3/5
MACHIN JOSE',Monza,C,54.0,54,62,40,60,,,,,,,,,,,,,,,11/20,0/2,0/2
Duncan,Venezia,C,53.75,59,76,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Viola,Cagliari,C,53.75,56,59,60,40,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
Kaba,Lecce,C,53.75,52,63,40,60,,,,,,,,,,,,,,,30+,0/3,0/3
ILKHAN EMIRHAN,Torino,C,53.5,54,60,40,60,,,,,,,,,,,Goleador,Assistman,,,0/10,0/3,0/3
Cyprien,Parma,C,53.5,50,64,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Haas,Empoli,C,53.25,50,63,40,60,,,,,,,,,,,,,,,21/30,0/2,0/2
Ellertsson,Venezia,C,53.0,49,63,40,60,,,,,Outsider,,,,,,,,,,30+,0/3,0/3
Thuram K.,Juventus,C,52.75,64,67,40,40,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Estevez,Parma,C,52.75,48,63,40,60,,,,,,,,,,,,,,,0/10,0/2,0/2
Ekkelenkamp,Udinese,C,52.75,48,63,40,60,,,,,,,,,,,,,,,21/30,3/5,0/3
Grassi,Empoli,C,52.5,61,69,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
Hasa,Lecce,C,52.5,52,58,40,60,,,,,Outsider,,,,,,,Assistman,,,21/30,0/3,3/5
FIORDILINO LUCA,Venezia,C,52.5,47,63,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Badelj,Genoa,C,52.25,64,65,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Urbanski,Bologna,C,52.25,51,58,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Atta,Udinese,C,52.0,46,62,40,60,,,,,,,,,,,,,,,0/10,0/1,0/1
Adopo,Cagliari,C,51.75,42,65,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,0/3,0/2
ANDERSEN MAGNUS KOFOD,Venezia,C,51.25,48,57,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Crnigoj,Venezia,C,51.25,46,59,40,60,,,,,,,,,,,,,,,0/10,0/3,0/2
INFANTINO GINO,Fiorentina,C,51.25,46,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Zerbin,Napoli,C,50.75,73,30,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Deiola,Cagliari,C,50.75,61,62,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Nicolussi Caviglia,Venezia,C,50.75,43,60,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Fabbian,Bologna,C,50.5,56,66,20,60,,,,,Outsider,,,,,,Goleador,,,,11/20,3/5,0/3
Pierret,Lecce,C,50.5,46,56,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Belahyane,Verona,C,50.5,43,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Braunoder,Como,C,50.25,56,65,20,60,,,,,Outsider,,,,,,,,,,21/30,3/5,3/5
Ilic,Torino,C,50.0,70,30,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Pisilli,Roma,C,49.75,62,57,20,60,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
Sensi,Monza,C,49.5,48,70,60,20,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
SILVA DANI,Verona,C,49.25,44,53,40,60,,,,,,,,,,,,,,,0/10,0/2,0/2
Bianco,Monza,C,49.0,57,59,20,60,,,,,,,,,,,Goleador,,,,11/20,0/3,0/3
Bondo,Monza,C,49.0,55,61,20,60,,,,,,,,,,,,,,,0/10,0/1,0/1
Moro N.,Bologna,C,48.25,54,59,40,40,,,,,,,,,,,,,,,11/20,0,0
Belardinelli,Empoli,C,47.5,48,62,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
Prati,Cagliari,C,47.0,57,51,20,60,,,,,Outsider,,,,,,,,,,21/30,0/3,0/3
MELEGONI FILIPPO,Genoa,C,47.0,50,58,20,60,,,,,,,,,,,,,,,0/10,0/2,0/2
Camara D.,Parma,C,47.0,48,60,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
Perrone,Como,C,47.0,47,61,20,60,,,,,,,,,,,,,,,11/20,0/2,0/2
Anjorin,Empoli,C,46.5,48,58,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Payero,Udinese,C,46.0,63,61,40,20,,,,,,,,,,,Goleador,,,,11/20,3/5,3/5
Doumbia I.,Venezia,C,45.75,46,57,20,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Gineitis,Torino,C,45.75,44,59,20,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Ferguson,Bologna,C,43.25,59,74,20,20,,,,,,,,,,,,,,,0/10,0/3,0/3
HAINAUT ANTOINE,Parma,C,39.75,46,53,20,40,,,,,,,,,,,,,,,0/10,0/3,0/2
Cassa,Atalanta,C,34.75,52,47,20,20,,,,,,,,,,,,,,,0/10,0,0
